,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 전날변동율,kospi 야간변동율,ks200 전날변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,nas 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,snp 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,VKOSPI_Label
2023-02-23,0.26,0.46,-0.06,0.053,0.041,-1.68,0.51,-1.75,0.579,0.13,-0.088,137.35,0.85,34.2,10.283,167717.0,52151.0,-0.16,-0.269,40.47,0.031,-2.54,-3.213,1.61,0.0
2023-02-24,0.66,0.44,0.07,0.021,0.015,0.89,0.139,1.11,0.141,0.72,-0.4,206.39,0.84,2.386,1.518,15706.0,8491.0,0.53,-0.156,59.11,0.011,-5.16,-3.734,1.54,0.0
2023-02-27,0.76,0.41,0.11,0.037,0.017,-0.63,-0.751,-0.78,-0.836,-1.69,-0.081,99.9,0.91,0.47,8.301,3164.0,47135.0,-1.05,-0.081,35.17,0.008,2.51,1.499,1.58,0.0
2023-02-28,0.06,0.31,-0.08,0.105,0.094,-0.87,0.622,-0.95,0.577,0.63,-0.436,120.63,0.93,16.296,18.922,110321.0,116361.0,0.31,-0.253,44.5,0.076,-3.32,-4.729,1.34,0.0
2023-03-02,1.0,0.28,0.23,0.079,0.043,0.42,0.073,0.27,0.159,-0.66,-0.595,129.13,0.91,-3.429,-4.892,-26994.0,-35778.0,-0.47,-0.302,32.68,0.032,-0.58,0.932,1.1,0.0
2023-03-03,-0.96,0.22,-0.37,0.074,0.043,0.62,0.448,0.46,0.452,0.73,1.678,213.98,0.87,29.511,23.215,224378.0,161467.0,0.76,1.083,62.68,0.032,-4.81,-8.501,1.87,0.0
2023-03-06,0.44,0.19,0.08,-0.091,0.015,0.17,0.838,0.03,0.904,1.97,1.426,184.89,0.95,22.529,34.009,221846.0,291452.0,1.61,1.191,53.12,-0.126,-5.62,-6.427,1.6,0.0
2023-03-07,0.06,0.1,-0.01,0.086,0.091,1.26,-0.227,1.45,-0.28,-0.11,-0.521,160.44,0.87,19.03,9.161,229611.0,105210.0,0.07,-0.166,33.88,0.076,0.65,-2.31,0.7,0.0
2023-03-08,-0.4,0.06,-0.14,0.063,0.036,0.03,-1.127,-0.36,-1.144,-1.25,-1.205,193.93,0.86,-18.372,-19.65,-263854.0,-246337.0,-1.53,-1.529,69.69,0.002,5.27,5.097,1.23,0.0
2023-03-09,-0.73,0.03,-0.24,0.058,0.041,-1.28,0.365,-1.38,0.377,0.4,0.198,113.48,0.88,23.07,25.436,270450.0,256224.0,0.14,0.112,30.65,0.03,-2.45,-3.044,1.01,0.0
2023-03-10,-0.09,0.03,-0.24,0.047,0.034,-0.53,-1.21,-0.42,-1.239,-2.05,-2.072,347.14,0.89,10.693,12.358,154267.0,156144.0,-1.85,-2.009,109.11,0.023,18.32,16.968,4.26,0.0
2023-03-13,0.7,1.95,-0.4,-0.026,0.056,-1.01,0.245,-1.08,0.361,-1.76,-1.646,279.95,1.01,-64.421,-59.486,-1028813.0,-844513.0,-1.45,-1.308,87.73,-0.086,9.69,6.255,7.18,0.0
2023-03-14,0.94,1.88,-0.3,0.042,0.04,0.67,-0.84,0.82,-0.967,0.45,1.335,343.93,1.03,5.681,7.303,32277.0,42005.0,-0.15,0.538,96.19,0.028,6.94,10.27,6.96,1.0
2023-03-15,1.32,1.78,-0.15,0.079,0.034,-2.56,1.325,-2.44,1.365,2.14,0.62,182.08,1.13,-6.006,3.029,-36063.0,18694.0,1.68,0.682,63.66,0.03,-10.52,-11.62,4.97,0.0
2023-03-16,1.0,1.78,-0.25,0.037,0.037,1.31,-0.914,1.15,-1.045,0.05,1.265,209.46,0.97,-0.888,-14.659,-5010.0,-93210.0,-0.73,0.392,56.02,0.026,10.16,12.624,6.72,0.0
2023-03-17,1.21,1.74,-0.17,0.101,0.096,-0.08,1.085,-0.23,1.235,2.48,2.92,368.31,1.09,14.209,28.585,79489.0,155117.0,1.76,2.097,100.35,0.076,-12.05,-12.218,4.52,0.0
2023-03-20,1.33,1.75,-0.13,0.079,-0.455,0.75,-0.159,1.19,-0.154,-0.74,-0.563,210.48,0.98,-12.177,-21.074,-77797.0,-147047.0,-1.1,-1.062,57.64,0.056,10.96,11.3,3.56,1.0
