,날짜,변동 %,당일 변동률,당일 변화량
200,2023-07-25,2.28,-2.659,0.57
201,2023-07-26,-0.36,-1.141,0.27
202,2023-07-27,-4.83,-4.834,1.01
203,2023-07-28,9.25,9.665,2.28
204,2023-07-31,-7.49,-4.989,0.91
205,2023-08-01,2.25,-2.504,0.52
206,2023-08-02,2.2,1.309,0.55
207,2023-08-03,15.51,2.484,1.53
208,2023-08-04,-1.06,-5.069,1.7
209,2023-08-07,7.41,6.808,2.82
210,2023-08-08,-7.78,-6.686,1.59
211,2023-08-09,1.4,-1.781,2.18
212,2023-08-10,-0.19,0.949,1.49
213,2023-08-11,-0.69,1.733,2.26
214,2023-08-14,-6.37,-4.443,1.67
215,2023-08-15,-0.13,-6.675,1.29
216,2023-08-16,11.07,10.1,1.66
217,2023-08-17,1.94,1.451,1.13
218,2023-08-18,6.62,5.483,1.73
219,2023-08-21,-3.3,-2.809,1.74
220,2023-08-22,-0.98,-4.992,1.23
221,2023-08-23,-0.93,0.059,0.97
222,2023-08-24,-5.83,-3.966,1.19
223,2023-08-25,7.63,10.469,1.84
224,2023-08-28,-8.84,-8.89,1.91
225,2023-08-29,-3.83,-7.143,1.28
226,2023-08-30,-4.18,-4.178,0.96
227,2023-08-31,-3.94,-4.474,0.87
228,2023-09-01,-2.23,-2.933,0.56
229,2023-09-04,-3.54,-3.466,0.54
230,2023-09-05,5.58,1.468,0.31
231,2023-09-06,1.37,-0.989,0.77
232,2023-09-07,3.14,1.261,1.17
233,2023-09-08,-0.35,-2.768,1.29
234,2023-09-11,-3.89,-2.672,1.29
235,2023-09-12,-0.29,-2.611,0.59
236,2023-09-13,3.12,1.498,0.71
237,2023-09-14,-5.27,-6.519,1.27
238,2023-09-15,-4.9,-4.257,0.67
239,2023-09-18,7.57,8.583,1.49
240,2023-09-19,1.52,-2.778,0.89
241,2023-09-20,0.79,0.0,1.02
242,2023-09-21,7.3,6.77,1.58
243,2023-09-22,15.85,13.234,2.44
244,2023-09-25,-1.94,-0.635,1.48
245,2023-09-26,-1.74,-2.029,1.62
246,2023-09-27,12.07,5.047,2.33
247,2023-09-28,-3.8,-0.383,1.68
248,2023-09-29,-4.83,-4.83,1.71
249,2023-10-02,1.04,3.853,1.91
250,2023-10-03,0.51,1.733,1.62
251,2023-10-04,12.32,11.061,2.96
252,2023-10-05,-6.07,-10.328,2.58
253,2023-10-06,-0.48,-0.964,1.32
254,2023-10-09,-5.62,-6.834,2.74
255,2023-10-10,1.43,-9.417,2.04
256,2023-10-11,-3.79,-3.785,1.35
257,2023-10-12,-5.52,-5.074,1.69
258,2023-10-13,3.73,3.794,2.64
259,2023-10-16,15.76,16.878,4.28
260,2023-10-17,-10.92,-9.895,2.43
261,2023-10-18,3.89,2.7,1.57
262,2023-10-19,7.49,4.684,2.27
263,2023-10-20,11.34,8.464,2.85
