,일자,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc
239,2023-10-04,0.97,27.653,19.408,188026.0,137145.0
240,2023-10-05,1.21,15.01,43.31,130285.0,365440.0
241,2023-10-06,1.1,-2.268,-11.59,-22640.0,-140148.0
242,2023-10-10,0.97,-4.057,-15.468,-39586.0,-165364.0
243,2023-10-11,0.93,64.797,59.366,606524.0,536494.0
244,2023-10-12,0.91,32.345,29.173,498944.0,420145.0
245,2023-10-13,1.03,-8.573,3.52,-175019.0,65484.0
246,2023-10-16,1.1,-77.699,-76.269,-1450242.0,-1468807.0
247,2023-10-17,0.99,75.194,57.66,312992.0,263523.0
248,2023-10-18,1.16,0.401,17.694,2923.0,127496.0
249,2023-10-19,1.2,-26.456,-23.508,-193700.0,-199357.0
250,2023-10-20,1.18,24.843,22.575,133771.0,146442.0
