,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 당일변동율,kospi 야간변동율,ks200 당일변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VKOSPI_Label
2022-11-17,0.99,0.77,0.07,0.08,0.03,-0.12,-0.442,-0.11,-0.615,-1.54,-0.679,1.26,45.821,73.416,303027.0,513324.0,-0.83,-0.453,0.026,-1.75,-0.741,1.0
2022-11-18,2.5,0.73,0.56,0.043,0.036,-1.39,0.214,-1.62,0.278,-0.35,1.238,1.18,-33.859,-37.95,-326520.0,-460149.0,-0.31,0.697,0.025,-0.75,-0.499,0.0
2022-11-21,0.33,0.69,-0.11,0.143,0.084,0.06,0.064,0.12,0.032,0.01,-0.986,0.93,24.853,-1.405,158524.0,-10569.0,0.48,-0.026,0.137,-3.38,-3.787,0.0
2022-11-22,-0.22,0.58,-0.25,0.042,0.026,-1.02,-0.56,-0.77,-0.569,-1.09,-0.6,0.84,-15.578,-23.737,-124056.0,-176084.0,-0.39,-0.159,0.023,-3.29,-7.027,0.0
2022-11-23,0.33,0.55,-0.07,0.042,0.038,-0.59,0.794,-0.84,0.904,1.36,1.048,0.92,-6.652,2.3,-44721.0,13014.0,1.36,0.96,0.027,-4.79,-5.755,0.0
2022-11-24,0.94,0.52,0.13,0.054,0.029,0.53,0.806,0.67,0.793,1.36,1.048,0.87,0.694,-4.97,4358.0,-28763.0,1.36,0.96,0.018,-4.42,-5.305,0.0
2022-11-25,0.75,0.5,0.08,0.124,0.115,0.96,0.036,1.02,-0.006,0.99,0.991,1.25,-3.207,39.298,-20267.0,216127.0,0.59,0.674,0.101,0.34,-0.39,0.0
2022-11-28,0.43,0.45,-0.01,0.129,-0.067,-0.14,-0.525,-0.39,-0.69,-0.52,-0.041,1.16,-8.495,-15.11,-51962.0,-115757.0,-0.03,0.069,0.11,0.39,-0.534,0.0
2022-11-29,0.69,0.34,0.11,0.145,0.143,-1.21,-0.113,-1.22,-0.135,-1.58,-0.88,1.01,41.427,22.917,231871.0,149042.0,-1.54,-1.034,0.133,8.34,0.543,0.0
2022-11-30,0.12,0.31,-0.06,0.059,0.042,1.04,-0.368,1.08,-0.39,-0.59,-0.689,1.1,-9.865,-2.103,-78093.0,-16813.0,-0.16,-0.165,0.023,-1.44,-0.905,0.0
2022-12-01,-1.35,0.28,-0.51,0.071,0.001,1.61,1.169,1.72,1.361,4.41,4.3,0.96,77.32,54.734,551672.0,428331.0,3.09,3.107,0.005,-5.98,-5.161,1.0
2022-12-02,1.08,0.25,0.26,0.054,0.058,0.3,-0.336,0.32,-0.391,0.13,0.063,0.87,17.141,6.428,216865.0,77831.0,-0.09,-0.259,0.025,-3.6,-4.753,1.0
2022-12-05,-0.02,0.21,-0.07,0.108,0.11,-1.84,0.322,-2.17,0.394,-0.18,1.354,0.87,21.055,21.623,312047.0,278660.0,-0.12,0.78,0.099,-3.93,-6.66,0.0
2022-12-06,0.44,0.1,0.11,0.037,0.035,-0.62,-0.894,-0.35,-0.959,-1.93,-1.239,0.84,11.073,6.302,198655.0,98773.0,-1.79,-1.312,0.018,8.87,2.217,0.0
2022-12-07,0.01,0.07,-0.02,0.064,0.029,-1.08,-0.305,-1.2,-0.332,-2.0,-1.902,0.84,7.541,7.405,150277.0,123376.0,-1.44,-1.385,0.026,6.84,7.153,1.0
2022-12-08,-0.07,0.03,-0.03,0.053,0.04,-0.43,0.172,-0.6,0.165,-0.51,-0.049,0.93,-1.591,10.02,-34086.0,179318.0,-0.19,0.016,0.03,2.3,1.613,1.0
2022-12-09,-0.64,0.03,-0.03,0.111,0.086,-0.49,0.491,-0.01,0.509,1.13,0.642,0.92,3.883,2.38,81883.0,46858.0,0.75,0.398,0.075,-1.72,-2.28,0.0
2022-12-12,-0.98,-1.75,0.25,0.043,0.02,0.76,-0.647,1.1,-0.722,-0.7,-0.304,0.88,-75.373,-76.554,-1651267.0,-1543114.0,-0.73,-0.5,0.006,2.42,1.242,0.0
2022-12-13,-1.59,-1.87,0.09,0.075,0.091,-0.67,0.507,-0.64,0.523,1.26,1.164,0.97,-29.745,-22.191,-160484.0,-104875.0,1.43,1.302,0.076,9.51,2.459,1.0
2022-12-14,-1.26,-1.91,0.21,0.059,0.045,-0.03,0.354,-0.03,0.423,1.01,-2.478,0.86,17.175,3.698,65103.0,13598.0,0.73,-1.222,0.034,-9.8,-10.658,0.0
2022-12-15,-1.83,-1.91,0.03,0.054,0.041,1.13,-0.643,1.19,-0.798,-0.76,-0.686,1.07,-1.047,23.289,-4650.0,88806.0,-0.61,-0.504,0.038,-6.25,-7.403,0.0
2022-12-16,-1.58,-1.99,0.13,0.106,0.086,-1.6,-1.322,-1.76,-1.381,-3.23,-1.835,0.82,15.272,-11.304,67120.0,-53144.0,-2.49,-1.582,0.076,7.99,6.087,0.0
2022-12-19,-3.43,-2.03,-0.46,0.192,0.525,-0.04,-0.392,-0.08,-0.374,-0.97,-0.578,0.94,16.461,32.489,83398.0,135477.0,-1.11,-0.991,0.159,-0.92,-2.752,0.0
2022-12-20,-2.42,-2.14,-0.09,0.064,0.039,-0.33,-0.316,-0.23,-0.365,-1.49,-1.507,0.93,-31.469,-31.909,-185675.0,-176285.0,-0.9,-0.938,0.028,-0.88,-0.928,1.0
2022-12-21,-2.15,-2.19,0.01,0.054,0.031,-0.8,0.561,-0.89,0.589,0.01,0.536,1.06,57.467,79.397,232369.0,298677.0,0.1,0.293,0.027,-4.19,-7.294,0.0
2022-12-22,-2.23,-2.23,0.0,0.098,0.104,-0.19,0.474,-0.27,0.472,1.54,1.108,1.04,-27.52,-28.882,-175226.0,-194913.0,1.49,1.014,0.091,-6.56,-5.553,0.0
2022-12-23,-2.43,-2.23,-0.07,0.043,0.035,1.19,-1.31,1.4,-1.411,-2.18,-1.042,1.18,1.683,15.33,7768.0,73577.0,-1.45,-0.801,0.023,9.47,9.412,1.0
2022-12-26,-2.62,-2.31,-0.1,0.049,0.126,-1.83,-0.05,-1.76,-0.103,-2.18,-1.042,1.2,2.943,4.505,13811.0,24939.0,-1.45,-0.801,0.02,-5.01,-5.864,0.0
2022-12-27,-2.32,-2.41,0.03,0.098,0.09,0.15,0.448,0.07,0.496,0.21,0.576,0.92,-30.849,-46.602,-149022.0,-269576.0,0.59,0.779,0.078,0.0,0.0,0.0
2022-12-28,-1.92,-2.43,0.17,0.038,0.04,0.68,-1.558,0.65,-1.598,-1.38,-1.041,0.99,32.254,41.303,107745.0,127579.0,-0.4,-0.367,0.036,3.74,-0.092,1.0
2022-12-29,1.36,2.3,-0.31,0.044,0.027,-2.24,-0.645,-2.34,-0.71,-1.35,-1.218,0.91,11.373,2.061,50245.0,8997.0,-1.2,-1.21,0.027,2.26,3.121,1.0
2023-01-02,1.75,2.22,-0.16,0.104,0.093,-1.93,0.606,-2.02,0.618,-1.35,-1.218,1.14,27.515,59.976,135384.0,267171.0,-1.2,-1.21,0.082,2.26,3.121,1.0
2023-01-03,1.46,2.09,-0.22,0.092,0.082,-0.48,0.239,-0.45,0.293,-0.11,0.946,0.82,13.324,-17.693,83595.0,-126084.0,-0.25,0.273,0.071,1.07,-0.733,0.0
2023-01-04,1.37,2.05,-0.23,0.065,0.057,-0.31,-0.572,-0.07,-0.428,-0.76,-1.658,1.08,64.303,115.553,457207.0,677776.0,-0.4,-0.756,0.038,5.68,-0.823,0.0
2023-01-05,1.02,2.06,-0.35,0.049,0.047,1.68,0.542,2.21,0.564,0.69,-0.087,0.88,-1.076,-19.812,-12575.0,-250493.0,0.75,0.328,0.032,-3.89,-4.012,0.0
2023-01-06,0.58,2.04,-0.49,0.054,0.021,0.38,-0.497,0.64,-0.396,-1.47,-0.819,0.9,3.923,6.171,45340.0,62567.0,-1.16,-0.824,0.025,2.04,1.171,0.0
2023-01-09,1.72,2.03,-0.1,0.104,0.161,1.12,1.131,1.23,1.184,2.56,1.981,0.84,84.531,73.142,1015210.0,787298.0,2.28,1.876,0.08,-5.92,-6.875,1.0
2023-01-10,1.81,1.96,-0.05,0.071,0.037,2.63,-0.091,2.71,-0.323,0.63,-0.248,0.64,38.323,5.844,849318.0,108919.0,-0.08,-0.479,0.033,3.98,1.011,0.0
2023-01-11,1.33,1.93,-0.19,0.06,0.046,0.05,0.542,-0.04,0.675,1.01,1.272,0.69,-10.16,-3.177,-311444.0,-62671.0,0.7,0.789,0.034,-6.33,-7.381,0.0
2023-01-12,1.62,1.89,-0.09,0.005,0.0,0.35,0.729,0.26,0.751,1.76,1.266,0.86,-23.329,-4.918,-642511.0,-93922.0,1.28,0.948,-0.007,2.48,1.394,1.0
2023-01-13,2.6,1.84,0.24,0.065,0.067,0.24,0.518,0.1,0.528,0.64,0.29,0.85,-1.555,-2.394,-32844.0,-43478.0,0.34,0.141,0.031,-10.72,-12.662,0.0
2023-01-16,1.53,1.83,-0.1,0.016,0.093,0.89,0.166,0.99,0.204,0.64,0.29,0.91,-66.016,-63.88,-1372285.0,-1132306.0,0.34,0.141,-0.013,-2.55,-3.421,0.0
2023-01-17,1.66,1.71,-0.02,0.054,0.041,0.58,0.044,0.72,0.057,0.71,1.584,0.99,-20.766,-13.402,-146696.0,-85802.0,0.4,0.972,0.03,6.21,0.257,0.0
2023-01-18,1.8,1.65,0.05,0.022,0.031,-0.85,0.041,-0.72,-0.041,0.14,0.227,0.93,-0.987,-6.808,-5522.0,-37746.0,-0.2,-0.208,0.002,-0.67,-2.665,0.0
2023-01-19,1.79,1.59,0.06,0.082,0.045,-0.47,-0.581,-0.59,-0.587,-1.24,-1.915,0.91,20.396,17.305,113038.0,89412.0,-1.56,-1.834,0.034,5.06,5.498,0.0
2023-01-20,0.94,1.55,-0.19,0.077,0.045,0.51,-0.014,0.61,0.057,-0.96,-0.35,0.85,-11.265,-17.275,-75164.0,-104703.0,-0.76,-0.332,0.034,0.88,0.441,0.0
