,날짜,변동 %,전날 변동율,전날 변화량
195,2023-08-01,-1.45,1.104,0.74
196,2023-08-02,-1.58,-1.475,1.4
197,2023-08-03,8.21,-4.829,0.86
198,2023-08-04,5.89,-3.05,1.26
199,2023-08-07,0.97,-2.523,1.36
200,2023-08-08,-2.35,1.799,0.84
201,2023-08-09,-1.18,0.099,0.74
202,2023-08-10,-0.5,0.0,0.9
203,2023-08-14,-3.99,2.287,1.82
204,2023-08-15,2.44,3.958,0.55
205,2023-08-16,-4.31,-4.363,0.87
206,2023-08-17,5.94,1.165,1.15
207,2023-08-18,-2.05,-3.693,1.24
208,2023-08-21,-0.2,-0.964,0.67
209,2023-08-22,2.15,3.692,0.56
210,2023-08-23,-5.42,-0.685,0.81
211,2023-08-24,-2.49,1.49,0.42
212,2023-08-25,-2.72,-4.992,0.84
213,2023-08-28,5.53,2.275,0.49
214,2023-08-29,-2.6,3.199,0.34
215,2023-08-30,-2.12,1.868,0.41
216,2023-08-31,-1.44,2.484,0.58
217,2023-09-01,-4.79,-0.295,0.43
218,2023-09-04,-0.18,-0.059,0.59
219,2023-09-05,1.66,-2.057,0.49
220,2023-09-06,2.45,-2.876,1.37
221,2023-09-07,-2.39,-5.252,1.15
222,2023-09-08,4.38,-0.501,1.67
223,2023-09-11,-3.63,0.937,0.77
224,2023-09-12,-1.97,3.175,0.37
225,2023-09-13,-3.96,0.433,0.56
226,2023-09-14,1.54,2.679,0.52
227,2023-09-15,-2.49,0.879,0.77
228,2023-09-19,-0.5,-4.821,0.33
229,2023-09-20,5.82,-0.646,0.4
230,2023-09-21,2.01,-2.596,1.18
231,2023-09-22,5.74,-5.538,1.89
232,2023-09-25,-2.3,0.848,0.62
233,2023-09-26,-1.23,1.616,0.99
234,2023-09-27,3.46,-3.852,1.03
235,2023-09-28,-0.55,-0.055,1.5
236,2023-09-29,3.81,1.951,0.77
237,2023-10-02,-2.18,1.099,1.15
238,2023-10-03,2.61,-3.772,0.9
239,2023-10-04,7.52,-8.517,1.43
240,2023-10-05,12.12,7.612,0.76
241,2023-10-06,-8.44,1.214,0.76
242,2023-10-10,-1.78,-1.964,0.92
243,2023-10-11,3.03,1.983,0.69
244,2023-10-12,-1.99,1.423,0.86
245,2023-10-13,0.05,0.878,0.93
246,2023-10-16,1.4,-2.283,1.19
247,2023-10-17,4.43,4.435,0.56
248,2023-10-18,-3.42,0.284,0.7
249,2023-10-19,-0.71,-6.25,0.69
250,2023-10-20,7.0,-1.318,0.93
