"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 11- 07","9.4950","9.5424","9.6287","9.4843","","-0.79%"
"2022- 11- 04","9.5709","9.6041","9.6494","9.5521","","-0.32%"
"2022- 11- 03","9.6014","9.5597","9.6701","9.5597","","0.56%"
"2022- 11- 02","9.5481","9.5584","9.7235","9.5498","","-0.07%"
"2022- 11- 01","9.5544","9.5957","9.6354","9.5478","","-0.33%"
"2022- 10- 31","9.5861","9.6234","9.6592","9.5808","","-0.56%"
"2022- 10- 28","9.6397","9.7185","9.7313","9.6327","","-0.77%"
"2022- 10- 27","9.7145","9.6530","9.7638","9.6433","","0.67%"
"2022- 10- 26","9.6497","9.6479","9.6824","9.6022","","0.07%"
"2022- 10- 25","9.6433","9.6993","9.7189","9.6135","","-0.55%"
"2022- 10- 24","9.6962","9.6846","9.8137","9.5465","","0.25%"
"2022- 10- 21","9.6724","9.5277","9.7948","9.4755","","1.55%"
"2022- 10- 20","9.5251","9.5742","9.5850","9.4983","","-0.49%"
"2022- 10- 19","9.5716","9.5484","9.5917","9.4738","","0.27%"
"2022- 10- 18","9.5460","9.6086","9.6199","9.5308","","-0.59%"
"2022- 10- 17","9.6031","9.7124","9.7148","9.5988","","-0.83%"
"2022- 10- 14","9.6830","9.7264","9.7531","9.6607","","-0.35%"
"2022- 10- 13","9.7174","9.6988","9.8540","9.6941","","0.22%"
