,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,KOPSI 전날변동율,KOSPI 야간변동율,KS200 전날변동율,KS200 야간변동율,NAS 야간변동율,NAS 당일변동율,NAS 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,S&P 야간변동율,S&P 당일변동율,S&P 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,JNIV 종가변동율,JNIV 전날변동율,JNIV 전날변화량,CD 전날변동율,CD 전날변화량,KOSPI 오전변동율,KOSPI 오전변화량,KS200 오전변동율,KS200 오전변화량,VKOSPI_Label
2023-08-22,0.11,0.8,-0.21,0.087,0.122,0.17,0.781,0.13,0.855,1.56,1.126,191.27,1.01,-13.823,-10.94,-89660.0,-69656.0,0.69,0.445,47.25,0.066,-0.98,-4.992,1.23,-0.2,-0.964,0.67,0.0,0.0,0.356,16.76,0.181,2.32,0.0
2023-08-23,0.3,0.77,-0.14,0.093,0.081,0.28,-0.228,0.26,-0.227,0.06,-0.648,114.38,1.27,8.842,36.359,49425.0,206163.0,-0.28,-0.629,35.82,0.075,-0.93,0.059,0.97,2.15,3.692,0.56,0.0,0.0,-0.211,12.5,-0.2,2.17,0.0
2023-08-24,0.5,0.73,-0.07,0.137,0.123,-0.41,1.049,-0.17,1.212,1.59,1.394,224.57,1.01,-3.781,-23.268,-23001.0,-179902.0,1.1,0.9,46.74,0.113,-5.83,-3.966,1.19,-5.42,-0.685,0.81,-0.27,0.01,-0.014,10.46,-0.078,1.36,0.0
2023-08-25,0.08,0.71,-0.19,0.088,0.088,1.28,-1.272,1.42,-1.351,-1.87,-2.677,371.84,1.49,-5.5,38.667,-32199.0,229403.0,-1.35,-1.77,82.75,0.075,7.63,10.469,1.84,-2.49,1.49,0.42,0.0,0.0,0.163,18.81,0.167,2.1,0.0
2023-08-28,-0.05,0.67,-0.22,0.094,0.086,-0.73,0.607,-1.07,0.56,0.94,0.564,257.08,1.13,6.52,-18.996,36070.0,-156276.0,0.67,0.372,62.17,0.079,-8.84,-8.89,1.91,-2.72,-4.992,0.84,0.0,0.0,0.22,13.06,0.109,1.54,0.0
2023-08-29,0.12,0.57,-0.14,0.033,0.03,0.96,0.289,0.69,0.313,0.84,0.071,109.34,1.21,-16.185,-10.66,-95374.0,-71037.0,0.63,0.164,24.58,0.03,-3.83,-7.143,1.28,5.53,2.275,0.49,0.0,0.0,-0.138,11.71,-0.21,1.76,0.0
2023-08-30,-0.31,0.54,-0.25,0.055,0.044,0.34,0.911,0.37,1.004,1.74,1.874,282.75,1.17,21.369,17.657,105542.0,105128.0,1.45,1.464,68.46,0.041,-4.18,-4.178,0.96,-2.6,3.199,0.34,0.0,0.0,-0.007,8.97,-0.05,1.31,0.0
2023-08-31,-0.19,0.51,-0.21,0.039,0.033,0.35,0.126,0.35,0.131,0.54,0.412,126.62,1.26,-3.553,4.38,-21296.0,30679.0,0.38,0.323,28.06,0.023,-3.94,-4.474,0.87,-2.12,1.868,0.41,0.0,0.0,-0.194,11.25,-0.107,1.53,0.0
2023-09-01,0.2,0.47,-0.08,0.033,0.034,-0.19,-0.17,-0.06,-0.191,0.11,-0.047,104.19,0.88,-0.202,-30.902,-1170.0,-225950.0,-0.16,-0.207,24.87,0.024,-2.23,-2.933,0.56,-1.44,2.484,0.58,0.0,0.0,-0.069,17.36,-0.012,3.64,0.0
2023-09-04,-0.43,0.44,-0.26,0.083,0.11,0.29,0.126,1.05,0.242,0.11,-0.047,104.19,1.1,45.763,82.344,264035.0,416028.0,-0.16,-0.207,24.87,0.068,-3.54,-3.466,0.54,-4.79,-0.295,0.43,-0.271,0.01,-0.211,10.66,-0.1,1.22,0.0
