,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 전날변동율,kospi 야간변동율,ks200 전날변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,nas 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,snp 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,JNIV 종가변동율,JNIV 전날변동율,JNIV 전날변화량,CD 전날변동율,CD 전날변화량,VKOSPI_Label
2023-04-19,1.65,1.6,0.01,0.036,0.046,-0.19,-0.04,-0.13,-0.048,-0.04,-0.663,135.2,0.9,12.23,26.174,53671.0,92147.0,0.09,-0.225,29.12,0.032,-0.71,-0.649,0.76,-1.59,-0.31,0.28,0.292,-0.01,0.0
2023-04-20,1.33,1.58,-0.07,0.041,0.048,0.16,-0.35,0.08,-0.404,0.03,0.775,130.93,0.99,-7.478,1.962,-36830.0,8716.0,-0.01,0.367,28.08,0.032,-2.2,-4.855,1.55,-0.37,-1.896,0.58,0.291,-0.01,0.0
2023-04-21,1.49,1.54,-0.01,0.042,0.04,-0.46,-0.25,-0.33,-0.174,-0.8,0.17,144.01,0.84,17.601,-0.233,80204.0,-1057.0,-0.6,-0.017,34.0,0.032,4.31,1.899,1.36,0.94,-0.797,0.37,0.58,-0.02,0.0
2023-04-24,1.01,1.51,-0.15,0.099,0.141,-0.73,-0.237,-0.52,-0.287,0.11,0.219,110.33,0.86,-5.704,-3.451,-30567.0,-15592.0,0.09,0.033,24.16,0.077,-2.33,-4.226,1.13,-0.56,-2.719,0.47,0.576,-0.02,0.0
2023-04-25,1.25,1.41,-0.05,0.041,0.042,-0.82,0.311,-0.68,0.304,-0.29,-0.135,143.28,0.85,-1.615,-2.944,-8163.0,-12844.0,0.09,0.12,24.64,0.032,0.72,-7.3,1.5,1.37,2.642,0.46,0.0,0.0,1.0
2023-04-26,1.27,1.37,-0.03,0.036,0.04,-1.37,0.019,-1.28,0.028,-1.98,-1.417,191.69,1.01,81.356,114.709,404465.0,485714.0,-1.58,-1.328,55.05,0.031,11.07,6.47,2.53,-0.31,-4.012,0.58,0.0,0.0,0.0
2023-04-27,1.28,1.33,-0.02,0.047,0.035,-0.17,-0.021,-0.16,-0.059,0.47,-0.494,134.92,0.82,-29.155,-42.443,-262869.0,-385866.0,-0.38,-0.778,40.32,0.032,0.43,0.965,1.74,3.38,-1.001,0.72,0.287,-0.01,0.0
2023-04-28,0.76,1.31,-0.17,0.057,0.048,0.44,0.64,0.35,0.695,2.43,1.421,203.09,0.86,21.021,26.778,134272.0,140122.0,1.96,1.474,62.95,0.03,-9.61,-7.596,1.71,-2.38,0.922,1.68,0.571,-0.02,0.0
2023-05-02,-0.06,1.29,-0.41,0.082,0.078,0.23,0.099,0.42,0.162,-0.11,0.021,80.24,0.92,10.691,19.019,82647.0,126173.0,-0.04,0.026,22.8,0.066,1.9,-2.011,1.09,2.63,-1.389,0.4,0.0,0.0,0.0
2023-05-03,0.91,1.17,-0.08,0.046,0.036,0.91,-0.563,0.81,-0.638,-1.08,-0.963,191.36,0.98,-11.743,-6.164,-100482.0,-48673.0,-1.16,-1.069,74.38,0.032,10.57,9.281,3.55,2.63,-1.389,0.4,0.284,-0.01,1.0
2023-05-04,0.28,1.14,-0.26,0.088,0.069,-0.91,-0.263,-0.78,-0.236,-0.46,-0.593,190.09,1.11,-21.947,-11.783,-165745.0,-87299.0,-0.7,-0.764,59.44,0.073,3.15,2.918,1.64,2.63,-1.389,0.4,0.567,-0.02,0.0
2023-05-08,-0.37,1.11,-0.45,0.047,0.062,-0.02,0.703,-0.11,0.871,2.25,1.345,199.11,0.85,36.055,4.316,212525.0,28208.0,1.85,1.261,62.29,0.037,-14.44,-11.846,2.94,1.22,-1.74,0.41,0.0,0.0,0.0
2023-05-09,1.1,0.99,0.03,0.094,0.072,0.49,-0.035,0.84,-0.067,0.18,0.206,86.73,1.01,26.506,50.733,212572.0,345905.0,0.05,0.028,18.49,0.092,-1.22,-4.23,1.05,2.47,2.208,0.44,0.0,0.0,0.0
2023-05-10,0.38,0.96,-0.18,0.037,0.046,-0.13,-0.163,-0.21,-0.149,-0.63,-0.133,42.07,0.89,6.698,-6.274,67952.0,-64479.0,-0.46,-0.123,13.7,0.031,4.3,2.429,0.64,-2.65,-0.316,0.4,0.0,0.0,1.0
2023-05-11,0.46,0.92,-0.14,0.053,0.04,-0.54,0.363,-0.66,0.35,1.04,0.161,156.83,0.97,13.52,24.145,146355.0,232576.0,0.45,-0.147,55.36,0.034,-4.35,-3.641,1.95,2.03,3.075,0.54,1.127,-0.04,0.0
2023-05-12,0.12,0.9,-0.24,0.037,0.033,-0.22,-0.147,-0.23,-0.138,0.18,0.059,91.94,0.94,37.672,32.776,462935.0,391934.0,-0.17,-0.039,23.51,0.023,-0.06,0.774,1.56,-2.92,0.644,0.76,0.279,-0.01,0.0
2023-05-15,0.69,0.86,-0.05,0.016,0.102,-0.63,-0.227,-0.51,-0.192,-0.35,-0.533,155.07,0.97,-69.537,-68.549,-1176419.0,-1088386.0,-0.16,-0.349,44.62,0.005,0.59,1.188,1.54,1.02,-2.713,0.4,0.278,-0.01,0.0
2023-05-16,0.69,0.77,-0.02,0.036,0.031,0.16,0.607,0.26,0.786,0.66,0.521,113.05,0.98,-1.338,0.046,-6895.0,229.0,0.3,0.233,30.98,0.032,0.53,-1.835,1.08,1.96,-2.603,0.88,0.277,-0.01,1.0
2023-05-17,0.24,0.74,-0.15,0.031,0.043,0.04,-0.024,0.26,0.092,-0.18,0.13,79.29,1.18,10.533,32.765,53556.0,163689.0,-0.64,-0.437,25.68,0.032,5.08,2.566,1.04,7.15,-0.116,0.72,0.0,0.0,0.0
2023-05-18,-0.11,0.72,-0.25,0.042,0.047,0.58,0.659,0.4,0.753,1.28,0.904,179.05,0.92,-17.689,-35.713,-99416.0,-236874.0,1.19,0.871,51.05,0.036,-6.23,-6.069,1.58,3.13,-5.173,1.93,0.829,-0.03,1.0
2023-05-19,-0.04,0.69,-0.22,-0.021,0.029,0.83,0.613,0.99,0.858,1.51,1.398,186.24,0.82,49.182,33.434,227519.0,142564.0,0.94,0.971,48.7,-0.033,-4.86,-5.142,1.1,15.13,-8.698,2.43,0.274,-0.01,1.0
2023-05-22,0.52,0.67,-0.04,0.026,-0.032,0.89,0.088,1.33,0.081,-0.24,-0.406,107.67,0.57,47.051,1.015,324712.0,5773.0,-0.14,-0.289,32.71,0.001,4.74,4.216,1.51,-1.95,2.085,1.15,0.273,-0.01,0.0
2023-05-23,0.73,0.57,0.05,0.043,0.035,0.76,0.341,0.61,0.312,0.5,0.445,100.96,0.63,7.91,20.393,80271.0,117208.0,0.02,0.044,29.54,0.032,2.38,-1.375,1.31,-5.43,-3.262,1.16,0.272,-0.01,0.0
2023-05-24,0.91,0.54,0.11,0.096,0.075,0.41,-0.407,0.24,-0.513,-1.26,-0.732,155.31,0.77,-31.685,-17.221,-346987.0,-119160.0,-1.12,-0.747,43.14,0.08,7.67,6.801,2.01,3.85,2.603,0.59,0.543,-0.02,1.0
2023-05-25,0.36,0.51,-0.04,0.048,0.034,0.0,0.124,-0.18,0.366,-0.61,0.018,113.78,0.75,-8.394,-10.236,-62797.0,-58629.0,-0.73,-0.429,28.98,0.026,8.09,6.543,2.01,-3.6,0.0,0.58,0.811,-0.03,1.0
2023-05-26,0.65,0.48,0.05,0.011,0.004,-0.5,0.284,-0.34,0.453,1.71,-0.066,132.03,0.97,15.705,49.28,107628.0,253377.0,0.88,-0.107,36.01,0.001,-4.44,-2.047,1.25,-2.68,-2.169,1.14,0.536,-0.02,0.0
2023-05-30,0.69,0.45,0.07,0.08,0.075,0.16,0.922,0.52,1.015,2.19,1.879,272.17,0.81,-17.314,-31.091,-137295.0,-238634.0,1.3,1.186,56.71,0.067,-2.73,-0.399,0.26,4.55,3.165,0.43,0.0,0.0,0.0
2023-05-31,0.55,0.32,0.07,0.038,0.041,1.04,0.02,1.3,0.015,0.32,-0.699,186.17,0.81,44.125,44.624,289313.0,236018.0,0.0,-0.501,38.92,0.03,0.0,-0.569,1.36,-1.48,1.478,1.05,0.267,-0.01,0.0
2023-06-01,-0.12,0.28,-0.12,0.145,0.049,-0.32,-0.177,-0.7,-0.224,-0.63,-0.255,139.71,0.85,-10.646,-6.637,-100603.0,-50768.0,-0.61,-0.26,29.29,0.134,2.75,-0.554,1.28,0.45,1.317,0.49,0.0,0.0,0.0
2023-06-02,-0.03,0.24,-0.08,0.081,0.09,-0.31,0.666,-0.31,0.737,1.28,1.209,238.2,0.96,11.679,26.857,98618.0,191802.0,0.99,0.908,60.79,0.041,-12.76,-9.223,2.01,-1.85,-1.058,0.48,0.0,0.0,0.0
2023-06-05,0.28,0.21,0.02,0.043,-0.011,1.25,0.618,1.36,0.648,1.07,0.381,130.35,0.83,36.437,18.055,343597.0,163567.0,1.45,0.975,49.66,0.011,-6.71,-6.709,1.23,2.19,-5.777,0.96,0.0,0.0,0.0
2023-06-07,0.09,0.11,-0.01,0.038,0.037,0.54,0.308,0.36,0.247,0.36,0.582,140.56,0.93,4.437,16.707,57092.0,178689.0,0.24,0.293,25.24,0.032,-5.23,-6.372,1.02,-3.03,-2.669,1.47,0.0,0.0,0.0
2023-06-08,0.03,0.04,0.0,0.038,0.041,0.01,-0.244,-0.2,-0.309,-1.29,-1.432,272.42,0.94,-2.057,-1.095,-27644.0,-13670.0,-0.38,-0.419,35.23,0.031,-0.14,-1.414,0.52,3.92,-3.044,2.15,-0.266,0.01,0.0
2023-06-09,-0.45,0.04,0.0,0.104,0.1,-0.18,0.509,-0.14,0.446,1.02,0.955,147.42,0.94,31.274,30.976,411581.0,382416.0,0.62,0.591,36.94,0.086,-2.08,-3.465,0.68,5.37,4.137,1.77,0.0,0.0,0.0
2023-06-12,2.71,2.38,0.09,0.044,0.003,1.16,0.24,1.18,0.216,0.16,-0.4,156.62,1.18,-65.695,-56.898,-1134951.0,-920014.0,0.11,-0.14,30.92,0.029,1.32,0.363,0.64,-6.78,1.362,0.91,0.0,0.0,0.0
2023-06-13,2.08,2.25,-0.05,0.05,0.029,-0.45,0.574,-0.64,0.682,1.53,1.017,163.33,1.02,-10.829,-22.393,-64179.0,-156068.0,0.93,0.71,35.76,0.025,8.53,3.947,0.7,-4.82,1.935,1.51,0.0,0.0,0.0
2023-06-14,2.01,2.24,-0.07,0.045,0.037,0.33,0.108,0.53,0.029,0.83,0.05,121.21,0.8,1.63,-20.137,8616.0,-108915.0,0.69,0.377,26.06,0.025,-2.66,-2.535,0.59,4.18,-1.924,1.18,0.0,0.0,0.0
2023-06-15,1.75,2.18,-0.12,0.062,0.033,-0.72,0.388,-0.5,0.371,0.39,0.412,205.75,0.82,14.461,16.099,77670.0,69540.0,0.08,0.144,53.97,0.03,-5.0,-4.144,0.9,2.71,1.758,1.59,0.0,0.0,0.0
2023-06-16,1.96,2.14,-0.05,0.05,0.06,-0.4,0.576,-0.42,0.554,1.15,1.547,266.8,0.81,11.834,10.486,72749.0,52588.0,1.22,1.386,76.6,0.031,4.47,2.91,0.73,1.5,1.964,1.8,0.0,0.0,0.0
2023-06-19,2.13,2.12,0.0,0.112,0.111,0.66,-0.294,0.58,-0.235,1.15,1.547,266.8,0.81,-13.557,-13.472,-93209.0,-74648.0,1.22,1.386,76.6,0.085,-6.62,-6.556,1.06,-7.08,-0.623,0.77,0.0,0.0,0.0
2023-06-20,1.97,1.99,-0.01,0.084,0.085,-0.62,-0.256,-0.59,-0.335,-0.68,-1.223,183.1,0.72,-18.312,-27.114,-108830.0,-129994.0,-0.37,-0.706,41.03,0.078,4.8,0.71,0.18,-1.01,0.934,0.54,0.0,0.0,0.0
2023-06-21,1.57,1.95,-0.11,0.05,0.051,-0.18,-0.22,-0.16,-0.321,-0.16,0.183,149.34,0.77,7.623,14.762,37009.0,51586.0,-0.47,-0.168,32.96,0.04,-2.18,-3.343,0.81,-2.14,1.056,0.65,0.0,0.0,1.0
2023-06-22,1.71,1.89,-0.05,0.056,0.035,-0.86,-0.27,-0.92,-0.271,-1.21,-0.871,177.63,0.83,4.28,12.473,22361.0,50020.0,-0.52,-0.327,26.08,0.032,-4.9,-4.899,0.79,0.7,1.709,1.14,0.0,0.0,0.0
2023-06-23,1.13,1.87,-0.22,0.055,0.034,0.43,0.206,0.49,0.243,0.95,1.393,190.29,0.8,12.557,9.403,68416.0,42413.0,0.37,0.608,30.43,0.032,-2.2,-6.988,1.25,0.05,1.555,1.84,0.0,0.0,0.0
2023-06-26,1.8,1.81,0.0,0.049,0.132,-0.91,-0.056,-0.78,-0.021,-1.01,0.062,129.53,0.85,-1.005,5.173,-6161.0,25526.0,-0.77,-0.134,25.21,0.025,4.11,1.511,0.92,4.3,-1.17,1.46,0.0,0.0,0.0
2023-06-27,1.02,1.72,-0.2,0.05,0.045,0.47,-0.046,0.57,0.012,-1.16,-0.987,239.15,0.79,-17.871,-23.834,-108494.0,-123697.0,-0.45,-0.369,33.98,0.034,6.03,-1.247,0.93,-0.62,1.255,0.76,0.0,0.0,0.0
2023-06-28,1.23,1.69,-0.13,0.039,0.027,-0.03,0.354,-0.02,0.311,1.65,1.243,211.83,0.9,14.134,29.638,70472.0,117156.0,1.15,0.946,49.42,0.023,-3.58,-2.622,0.75,-4.67,0.402,0.6,0.0,0.0,0.0
2023-06-29,1.14,1.64,-0.15,0.044,0.05,-0.67,-0.007,-0.56,0.015,0.27,0.635,158.41,0.86,3.812,-0.522,21693.0,-2676.0,-0.04,0.215,30.13,0.031,-2.26,-3.381,0.6,0.95,1.918,0.48,0.0,0.0,1.0
2023-06-30,2.81,2.66,0.04,0.088,0.055,-0.55,0.33,-0.6,0.348,0.0,-0.008,78.27,0.95,28.15,40.564,166305.0,206782.0,0.45,0.491,26.42,0.073,0.82,-0.733,0.44,-2.43,0.305,0.58,0.0,0.0,0.0
2023-07-03,2.55,2.64,-0.03,0.16,0.08,0.56,0.648,0.46,0.684,1.45,0.495,100.51,0.88,19.728,11.354,149355.0,81357.0,1.23,0.632,36.04,0.141,0.37,0.592,0.63,-2.99,-1.95,0.41,0.0,0.0,0.0
2023-07-04,2.67,2.57,0.03,0.044,0.049,1.49,0.086,1.52,0.134,1.45,0.495,100.51,0.93,0.339,5.736,3077.0,45771.0,1.23,0.632,36.04,0.035,-0.15,-2.022,0.38,2.41,1.768,0.37,0.0,0.0,0.0
2023-07-05,2.26,2.53,-0.08,0.039,0.039,-0.35,0.006,-0.43,-0.035,0.21,0.131,65.68,0.9,-18.678,-21.175,-169883.0,-178649.0,0.12,0.115,14.17,0.036,0.96,1.182,0.19,-1.53,0.679,0.75,-0.267,0.01,0.0
2023-07-06,1.56,2.47,-0.27,0.044,0.036,-0.55,-0.165,-0.75,-0.251,-0.18,0.142,80.25,0.9,17.392,17.626,128634.0,117217.0,-0.2,0.108,17.45,0.031,3.5,-0.07,0.69,-2.44,-3.54,0.86,0.0,0.0,1.0
2023-07-07,1.9,2.41,-0.15,0.033,0.036,-0.88,-0.347,-0.84,-0.419,-0.82,0.189,122.27,1.04,37.822,59.777,328392.0,467609.0,-0.79,-0.249,37.57,0.027,8.89,3.973,2.29,2.18,-3.224,0.9,0.0,0.0,1.0
2023-07-10,1.28,2.35,-0.32,0.1,-0.032,-1.16,0.054,-1.38,0.075,-0.13,-0.054,147.77,1.08,48.314,53.031,578158.0,662817.0,-0.29,-0.127,42.99,0.092,-3.95,-7.138,1.73,5.47,-1.411,1.37,0.267,-0.01,1.0
2023-07-11,2.01,2.24,-0.07,0.039,0.042,-0.24,0.72,-0.22,0.795,0.18,0.294,107.54,1.18,8.429,18.899,149601.0,361471.0,0.24,0.348,22.68,0.031,1.62,-6.281,1.17,4.29,3.986,0.82,0.0,0.0,0.0
2023-07-12,1.83,2.25,-0.12,0.045,0.049,1.66,-0.19,1.87,-0.059,0.55,0.371,131.51,1.06,-15.994,-24.81,-307789.0,-564225.0,0.67,0.537,35.18,0.031,-1.53,-1.198,0.62,-2.22,1.324,1.91,0.0,0.0,1.0
2023-07-13,1.34,2.23,-0.26,0.034,0.027,0.48,0.589,0.72,0.63,1.15,0.024,121.32,1.02,13.249,8.994,214186.0,153791.0,0.74,0.1,25.11,0.024,-8.76,-8.637,1.31,4.16,5.284,0.88,0.0,0.0,0.0
2023-07-14,2.52,2.21,0.09,0.045,0.045,0.64,0.627,0.49,0.692,1.58,0.837,151.56,0.98,6.975,3.054,127698.0,56917.0,0.85,0.413,28.02,0.034,0.52,1.265,0.49,-5.99,1.049,1.39,0.0,0.0,1.0
2023-07-17,1.27,2.21,-0.27,0.09,0.083,1.43,-0.404,1.7,-0.447,-0.18,-0.374,150.15,1.33,-63.624,-50.61,-1246079.0,-972030.0,-0.1,-0.204,28.2,0.08,-1.98,-2.77,0.54,-5.99,1.049,1.39,0.0,0.0,0.0
2023-07-18,2.15,2.1,0.01,0.057,0.057,-0.35,0.213,-0.34,0.214,0.93,0.672,136.41,0.99,-23.079,-42.634,-164425.0,-404427.0,0.39,0.309,27.95,0.044,1.05,-2.177,0.57,1.29,1.587,0.85,0.0,0.0,0.0
2023-07-19,2.22,2.05,0.05,0.051,0.033,-0.43,0.561,-0.69,0.649,0.76,0.995,220.58,1.01,6.375,8.524,34934.0,46388.0,0.71,0.734,47.71,0.028,-1.34,-2.278,0.38,-0.59,0.892,0.87,0.0,0.0,0.0
2023-07-20,1.29,2.01,-0.21,0.097,0.09,0.02,-0.493,-0.08,-0.507,0.03,-0.281,129.46,0.99,12.366,10.001,72088.0,59062.0,0.24,0.041,20.95,0.079,3.46,3.303,0.72,-2.7,-0.352,0.36,0.0,0.0,0.0
2023-07-21,1.63,1.97,-0.1,0.067,0.086,-0.31,-0.737,-0.42,-0.726,-2.05,-1.471,279.29,0.94,0.651,-4.473,4267.0,-29059.0,-0.68,-0.428,37.18,0.047,1.67,0.215,0.65,0.96,0.502,0.61,0.0,0.0,0.0
2023-07-24,1.76,1.93,-0.05,0.061,0.13,0.37,-0.049,0.21,-0.12,-0.22,-0.815,158.56,0.99,32.023,38.703,211128.0,240175.0,0.03,-0.304,19.21,0.036,-2.79,-1.947,0.52,-1.0,-2.125,0.61,0.0,0.0,1.0
2023-07-25,1.68,1.84,-0.05,0.051,0.044,0.72,0.564,0.56,0.424,0.19,-0.162,113.02,0.96,4.501,0.97,39179.0,8348.0,0.4,0.248,22.12,0.034,2.28,-2.659,0.57,0.25,0.915,0.69,0.0,0.0,0.0
2023-07-26,1.48,1.81,-0.1,0.062,0.021,0.3,0.087,0.17,0.075,0.61,0.364,109.39,1.08,-39.569,-31.717,-359924.0,-275649.0,0.28,0.269,28.2,0.031,-0.36,-1.141,0.27,-3.27,-0.104,0.57,0.0,0.0,1.0
2023-07-27,1.89,1.75,0.04,0.056,0.058,-1.67,0.288,-1.26,0.317,-0.12,0.027,145.4,1.0,95.963,81.137,527488.0,481496.0,-0.02,0.171,34.89,0.049,-4.83,-4.834,1.01,-1.98,-0.79,0.64,0.0,0.0,0.0
2023-07-28,1.59,1.74,-0.04,0.045,0.041,0.44,-0.389,1.23,-0.351,-0.55,-1.879,353.28,0.99,-16.019,-16.809,-172549.0,-180683.0,-0.64,-1.323,78.51,0.03,9.25,9.665,2.28,-0.05,-5.759,1.73,-0.267,0.01,0.0
2023-07-31,1.22,1.69,-0.14,0.045,0.162,0.17,0.788,-0.21,0.718,1.9,0.823,156.25,1.13,-7.832,5.178,-70849.0,46302.0,0.99,0.361,26.15,0.039,-7.49,-4.989,0.91,-1.22,-0.428,0.56,0.0,0.0,0.0
2023-08-01,1.63,1.59,0.01,0.034,0.043,0.93,0.447,0.46,0.501,0.21,0.057,78.16,0.97,17.359,0.882,144734.0,8298.0,0.15,0.09,21.08,0.033,2.25,-2.504,0.52,-1.45,1.104,0.74,0.0,0.0,0.0
2023-08-02,1.35,1.58,-0.07,0.033,0.036,1.31,-0.583,1.56,-0.541,-0.43,0.063,93.57,0.99,20.248,22.169,198130.0,210349.0,-0.27,-0.046,17.09,0.031,2.2,1.309,0.55,-1.58,-1.475,1.4,0.0,0.0,1.0
2023-08-03,1.0,1.51,-0.15,0.05,0.045,-1.9,0.317,-2.05,0.291,-2.17,-1.127,219.04,1.24,-4.319,19.969,-50824.0,231478.0,-1.38,-0.825,45.18,0.042,15.51,2.484,1.53,8.21,-4.829,0.86,0.0,0.0,1.0
2023-08-04,1.16,1.47,-0.09,0.088,0.089,-0.42,0.03,-0.66,0.018,-0.1,0.431,150.93,0.95,24.606,-4.419,277017.0,-61452.0,-0.25,0.17,33.95,0.071,-1.06,-5.069,1.7,5.89,-3.05,1.26,-0.267,0.01,0.0
2023-08-07,1.05,1.43,-0.11,0.022,0.024,-0.1,-0.431,-0.08,-0.484,-0.36,-0.832,221.29,1.06,-6.215,4.463,-87188.0,59328.0,-0.53,-0.796,65.79,0.016,7.41,6.808,2.82,0.97,-2.523,1.36,-0.268,0.01,0.0
2023-08-08,1.27,1.32,-0.01,0.066,0.078,-0.85,0.681,-0.46,0.718,0.61,0.157,132.23,0.91,13.884,-1.401,182663.0,-19454.0,0.9,0.598,28.69,0.048,-7.78,-6.686,1.59,-2.35,1.799,0.84,0.0,0.0,1.0
2023-08-09,1.2,1.27,-0.02,0.049,0.044,-0.26,0.257,-0.51,0.311,-0.79,0.064,130.4,1.02,48.18,65.515,721884.0,896966.0,-0.42,0.03,38.92,0.023,1.4,-1.781,2.18,-1.18,0.099,0.74,-0.538,0.02,0.0
2023-08-10,0.89,1.25,-0.1,0.027,0.039,1.21,-0.488,1.08,-0.562,-1.17,-1.263,200.15,1.05,-21.881,-19.689,-485790.0,-446175.0,-0.7,-0.752,41.11,0.002,-0.19,0.949,1.49,-0.5,0.0,0.9,0.0,0.0,0.0
2023-08-11,-0.01,1.21,-0.36,0.115,0.052,-0.14,0.372,-0.34,0.417,0.12,-0.581,260.65,1.04,-9.487,-10.175,-164540.0,-185171.0,0.03,-0.408,69.45,0.094,-0.69,1.733,2.26,-0.5,0.0,0.9,-0.541,0.02,0.0
2023-08-14,1.47,1.16,0.09,0.044,0.027,-0.4,-0.183,-0.43,-0.118,-0.68,0.082,110.35,1.16,-65.087,-61.225,-1021778.0,-1000851.0,-0.11,0.3,32.25,0.023,-6.37,-4.443,1.67,-3.99,2.287,1.82,0.272,-0.01,1.0
2023-08-16,0.92,1.05,-0.04,0.049,0.041,-0.79,-0.807,-0.78,-0.785,-1.14,-0.941,163.05,0.9,13.975,-11.772,76596.0,-74618.0,-1.16,-0.916,46.68,0.034,11.07,10.1,1.66,-4.31,-4.363,0.87,0.0,0.0,1.0
2023-08-17,1.07,0.97,0.03,0.065,0.081,-1.76,-0.504,-1.5,-0.498,-1.15,-0.872,171.29,0.94,11.155,16.81,69682.0,94010.0,-0.76,-0.664,46.4,0.054,1.94,1.451,1.13,5.94,1.165,1.15,0.271,-0.01,0.0
2023-08-18,0.77,0.94,-0.05,0.044,0.029,-0.23,-0.979,-0.32,-1.008,-1.17,-1.555,231.64,1.03,32.39,45.564,224900.0,297654.0,-0.77,-1.041,56.34,0.037,6.62,5.483,1.73,-2.05,-3.693,1.24,0.0,0.0,0.0
2023-08-21,0.08,0.9,-0.25,0.098,0.126,-0.61,0.287,-0.55,0.314,-0.2,0.764,174.11,0.98,-29.439,-33.046,-270624.0,-314235.0,-0.01,0.571,46.51,0.075,-3.3,-2.809,1.74,-0.2,-0.964,0.67,0.0,0.0,0.0
2023-08-22,0.11,0.8,-0.21,0.087,0.122,0.17,0.781,0.13,0.855,1.56,1.126,191.27,1.01,-13.823,-10.94,-89660.0,-69656.0,0.69,0.445,47.25,0.066,-0.98,-4.992,1.23,2.15,3.692,0.56,0.0,0.0,0.0
