,,,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
행사가,,,307.5,310.0,312.5,315.0,317.5,320.0,322.5,325.0,327.5,330.0,332.5,335.0,337.5,340.0,342.5,345.0,347.5,350.0,352.5
거래일자,풋콜구분,시각,,,,,,,,,,,,,,,,,,,
20230925,CALL,1515,,,,,,11.65,9.66,7.62,5.84,4.3,2.95,1.93,1.18,0.69,,,,,
20230925,PUT,915,,,,,,0.91,1.31,1.88,2.64,3.67,4.95,6.5,8.4,10.35,,,,,
20230925,PUT,1515,,,,,,0.66,0.98,1.47,2.13,3.04,4.25,5.7,7.45,9.41,,,,,
20230926,CALL,915,,,,,,11.65,8.94,6.3,4.6,3.23,2.14,1.33,0.78,0.43,,,,,
20230926,CALL,1515,,,,,,8.44,6.51,4.74,3.32,2.2,1.37,0.81,0.45,0.24,,,,,
20230926,PUT,915,,,,,,0.89,1.33,1.96,2.8,3.92,5.33,7.02,8.97,11.0,,,,,
20230926,PUT,1515,,,,,,1.25,1.85,2.68,3.77,5.14,6.81,8.75,10.8,13.15,,,,,
20230927,CALL,915,,,,12.2,9.7,8.19,6.28,4.61,3.21,2.11,1.31,0.75,,,,,,,
20230927,CALL,1515,,,,11.8,10.3,8.53,6.72,4.96,3.49,2.32,1.45,0.84,,,,,,,
20230927,PUT,915,,,,0.61,0.9,1.34,1.97,2.82,3.94,5.34,7.0,9.0,,,,,,,
20230927,PUT,1515,,,,0.46,0.72,1.09,1.65,2.43,3.45,4.78,6.4,8.26,,,,,,,
20231004,CALL,915,,,,6.64,4.96,3.45,2.26,1.37,0.77,0.39,0.19,0.09,,,,,,,
20231004,CALL,1515,,,,5.76,4.09,2.72,1.67,0.95,0.49,0.23,0.11,0.05,,,,,,,
20231004,PUT,915,,,,1.47,2.19,3.19,4.5,6.08,7.99,10.25,12.4,14.55,,,,,,,
20231004,PUT,1515,,,,1.7,2.53,3.66,5.1,6.88,8.83,11.1,13.55,15.9,,,,,,,
20231005,CALL,915,13.9,10.5,8.53,6.24,4.47,2.97,1.79,0.99,0.48,,,,,,,,,,
20231005,CALL,1515,13.3,9.35,7.2,5.27,3.59,2.24,1.24,0.6,0.25,,,,,,,,,,
20231005,PUT,915,0.24,0.41,0.71,1.17,1.87,2.87,4.21,5.89,7.91,,,,,,,,,,
20231005,PUT,1515,0.27,0.48,0.81,1.33,2.12,3.26,4.75,6.67,8.77,,,,,,,,,,
20231006,CALL,915,12.55,10.65,7.82,5.87,4.06,2.56,1.43,0.69,0.27,,,,,,,,,,
20231006,CALL,1515,12.2,9.7,7.46,5.36,3.6,2.2,1.19,0.55,0.21,,,,,,,,,,
20231006,PUT,915,0.17,0.31,0.56,0.98,1.64,2.63,4.01,5.77,7.96,,,,,,,,,,
20231006,PUT,1515,0.17,0.32,0.6,1.06,1.79,2.88,4.37,6.2,8.31,,,,,,,,,,
20231010,CALL,915,,16.2,,12.0,10.4,8.79,7.05,5.75,4.53,,,,,,,,,,
20231010,CALL,1515,,12.95,11.1,9.31,7.71,6.27,5.02,3.89,2.96,,,,,,,,,,
20231010,PUT,915,1.24,1.59,1.98,2.5,3.16,3.91,4.85,5.98,7.18,,,,,,,,,,
20231010,PUT,1515,2.02,2.54,3.16,3.9,4.8,5.82,7.04,8.25,10.0,,,,,,,,,,
20231011,CALL,915,,,,13.0,11.2,9.41,7.83,6.21,4.9,,,,,,,,,,
20231011,CALL,1515,20.45,17.9,16.0,13.2,10.9,9.17,7.6,6.15,4.88,,,,,,,,,,
20231011,PUT,915,1.01,1.3,1.66,2.13,2.66,3.39,4.23,5.21,6.38,,,,,,,,,,
20231011,PUT,1515,1.1,1.41,1.79,2.27,2.86,3.59,4.43,5.49,6.66,,,,,,,,,,
20231012,CALL,915,,,,,12.35,10.6,8.92,7.25,5.8,4.54,3.45,,,,,,,,
20231012,CALL,1515,,,17.35,15.1,13.0,11.7,9.8,8.11,6.55,5.22,4.05,,,,,,,,
20231012,PUT,915,,,1.24,1.6,2.08,2.63,3.37,4.23,5.29,6.5,7.88,,,,,,,,
20231012,PUT,1515,,,1.03,1.36,1.76,2.28,2.92,3.69,4.64,5.78,7.19,,,,,,,,
20231013,CALL,915,,,,,11.5,9.89,8.46,6.87,5.47,4.26,3.21,2.36,1.68,,,,,,
20231013,CALL,1515,,,,,11.25,9.42,7.67,6.15,4.82,3.68,2.72,1.96,1.36,,,,,,
20231013,PUT,915,,,,,2.05,2.64,3.38,4.26,5.37,6.61,8.12,9.71,12.5,,,,,,
20231013,PUT,1515,,,,,2.29,2.94,3.75,4.72,5.87,7.24,8.76,10.45,12.35,,,,,,
20231016,CALL,915,,,,12.25,10.7,9.23,7.42,5.78,4.47,3.35,2.44,1.71,,,,,,,
20231016,CALL,1515,,,,11.45,9.47,7.78,6.24,4.86,3.7,2.72,1.94,1.33,,,,,,,
20231016,PUT,915,,,,1.87,2.42,3.1,3.93,4.94,6.09,7.47,9.07,10.8,,,,,,,
20231016,PUT,1515,,,,2.33,2.97,3.76,4.72,5.85,7.19,8.56,10.8,12.1,,,,,,,
20231017,CALL,915,,,14.9,13.1,11.25,9.19,7.36,5.89,4.54,3.39,2.45,,,,,,,,
20231017,CALL,1515,,,16.35,14.8,12.5,10.5,8.53,6.83,5.35,4.05,2.98,,,,,,,,
20231017,PUT,915,,,1.15,1.53,2.03,2.65,3.42,4.38,5.54,6.91,8.31,,,,,,,,
20231017,PUT,1515,,,0.87,1.17,1.57,2.08,2.73,3.55,4.56,5.76,7.16,,,,,,,,
20231018,CALL,915,,,,13.7,11.85,9.85,7.96,6.24,4.84,3.63,2.63,1.82,,,,,,,
20231018,CALL,1515,,,,15.35,13.2,11.15,9.19,7.42,5.83,4.47,3.29,2.34,,,,,,,
20231018,PUT,915,,,,1.35,1.8,2.37,3.09,3.96,5.05,6.35,7.4,9.08,,,,,,,
20231018,PUT,1515,,,,0.99,1.35,1.8,2.38,3.12,4.03,5.15,6.48,7.96,,,,,,,
20231019,CALL,915,,,,,9.31,7.34,5.89,4.56,3.41,2.46,1.7,1.13,0.7,,,,,,
20231019,CALL,1515,,,,,8.8,7.19,5.68,4.37,3.26,2.34,1.62,1.07,0.68,,,,,,
20231019,PUT,915,,,,,2.82,3.6,4.54,5.71,7.11,8.61,10.2,12.25,14.25,,,,,,
20231019,PUT,1515,,,,,3.14,3.96,4.95,6.13,7.52,9.1,11.05,12.9,15.05,,,,,,
20231020,CALL,915,,,9.45,7.7,6.19,4.85,3.69,2.72,1.93,1.32,0.87,,,,,,,,
20231020,CALL,1515,,,9.31,7.65,6.06,4.7,3.53,2.57,1.81,1.22,0.78,,,,,,,,
20231020,PUT,915,,,3.4,4.21,5.18,6.33,7.72,9.19,10.6,12.65,14.55,,,,,,,,
20231020,PUT,1515,,,3.35,4.18,5.17,6.33,7.65,9.21,10.85,12.75,14.85,,,,,,,,
