,,,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
행사가,,,307.5,310.0,312.5,315.0,317.5,320.0,322.5,325.0,327.5,330.0,332.5,335.0,337.5,340.0,342.5,345.0,347.5,350.0,352.5
거래일자,풋콜구분,시각,,,,,,,,,,,,,,,,,,,
20230825,PUT,1515,,,,,,,1.78,2.44,3.28,4.32,5.6,7.14,,,,,,,
20230828,CALL,915,,,,,,11.9,,7.89,,4.6,3.32,2.29,1.49,0.92,,,,,
20230828,CALL,1515,,,,,,,,,6.73,5.11,3.71,2.57,1.69,1.05,,,,,
20230828,PUT,915,,,,,,0.89,1.3,1.86,2.62,3.58,4.79,6.18,8.0,,,,,,
20230828,PUT,1515,,,,,,0.68,1.01,1.49,2.13,3.01,4.1,5.43,7.05,8.94,,,,,
20230829,CALL,915,,,,,,,12.1,9.79,7.86,6.02,4.48,3.16,2.12,1.35,0.8,,,,
20230829,CALL,1515,,,,,,,,,,,4.48,3.13,2.08,1.3,0.76,,,,
20230829,PUT,915,,,,,,,0.66,1.01,1.52,2.22,3.14,4.32,5.8,7.51,,,,,
20230829,PUT,1515,,,,,,,0.56,0.87,1.34,2.0,2.89,4.05,5.52,,,,,,
20230830,CALL,915,,,,,,,,,,8.21,6.31,4.61,3.22,2.13,1.31,,,,
20230830,CALL,1515,,,,,,,13.35,,,6.87,5.09,3.6,2.38,1.48,0.85,,,,
20230830,PUT,915,,,,,,,0.27,0.43,0.7,1.1,1.7,2.52,3.62,5.03,6.72,,,,
20230830,PUT,1515,,,,,,,0.34,0.55,0.89,1.39,2.12,3.12,4.41,6.01,7.85,,,,
20230831,CALL,915,,,,,,,,,,6.94,5.19,3.66,2.42,1.5,0.85,,,,
20230831,CALL,1515,,,,,,,,,,6.05,4.37,2.97,1.88,1.11,0.6,,,,
20230831,PUT,915,,,,,,,0.28,0.47,0.77,1.24,1.93,2.9,4.16,5.76,7.6,,,,
20230831,PUT,1515,,,,,,,0.35,0.57,0.92,1.47,2.27,3.35,4.77,6.5,8.5,,,,
20230901,CALL,915,,,,,,,,,,6.56,4.78,3.27,2.08,1.23,0.67,,,,
20230901,CALL,1515,,,,,,,,,,,7.01,5.16,3.56,2.31,1.38,,,,
20230901,PUT,915,,,,,,,0.26,0.44,0.74,1.2,1.9,2.89,4.21,5.84,7.86,,,,
20230901,PUT,1515,,,,,,,0.14,0.22,0.36,0.62,1.04,1.68,2.59,3.83,5.38,,,,
20230904,CALL,915,,,,,,,,,,11.15,,,6.1,,,,1.94,,
20230904,CALL,1515,,,,,,,,,14.1,,,,6.66,5.29,,3.07,2.24,,
20230904,PUT,915,,,,,,,,,,,,,,5.55,,8.5,,,
20230904,PUT,1515,,,,,,,,,1.28,1.68,2.24,,,,,,,,
20230905,CALL,915,,,,,,,,,,12.0,,,,,,2.99,2.14,1.52,
20230905,CALL,1515,,,,,,,,,,,,,,,,2.82,2.07,,
20230905,PUT,915,,,,,,,,,,1.63,,2.9,3.83,,,,,,
20230905,PUT,1515,,,,,,,,,,,2.24,,,4.9,,,,,
20230906,CALL,915,,,,,,,,,,,,,6.15,,,2.67,1.9,1.33,
20230906,CALL,1515,,,,,,,,,,,,,,,2.86,,,0.99,
20230906,PUT,915,,,,,,,,,,,2.31,3.03,,5.06,,8.0,,,
20230906,PUT,1515,,,,,,,,,,2.16,2.84,3.69,,,,,,,
20230907,CALL,915,,,,,,,,,,,,,,3.42,2.46,1.76,1.2,,
20230907,CALL,1515,,,,,,,,,,,,5.32,,3.02,,1.51,1.03,,
20230907,PUT,915,,,,,,,,,1.73,2.31,,3.95,,,,,,,
20230907,PUT,1515,,,,,,,,,,,,,,,8.8,,,,
20230908,CALL,915,,,,,,,,,,6.61,4.65,2.9,1.59,0.75,0.31,0.1,,,
20230908,CALL,1515,,,,,,,,,,,4.44,2.71,1.42,0.63,0.24,0.09,,,
20230908,PUT,915,,,,,,,,0.1,0.19,0.41,0.84,1.59,2.78,4.51,6.58,,,,
20230908,PUT,1515,,,,,,,,0.07,0.16,0.36,0.78,1.53,2.74,4.46,6.59,,,,
20230911,CALL,915,,,,,,,,,,5.98,3.84,2.18,1.04,0.4,0.13,0.05,,,
20230911,CALL,1515,,,,,,,,,,7.45,5.17,3.18,1.64,0.69,0.23,0.07,,,
20230911,PUT,915,,,,,,,,0.06,0.14,0.33,0.79,1.64,3.0,4.85,7.06,,,,
20230911,PUT,1515,,,,,,,,0.05,0.08,0.17,0.39,0.88,1.85,3.4,5.41,,,,
20230912,CALL,915,,,,,,,,,,,5.52,3.44,1.77,0.72,0.22,0.05,0.02,,
20230912,CALL,1515,,,,,,,,,,,3.67,1.89,0.75,0.22,0.06,0.02,0.01,,
20230912,PUT,915,,,,,,,,,0.04,0.09,0.23,0.61,1.45,2.89,4.89,,,,
20230912,PUT,1515,,,,,,,,,0.04,0.14,0.44,1.17,2.52,4.51,6.81,,,,
20230913,CALL,915,,,,,,,,,,7.16,4.73,2.61,1.06,0.3,0.06,0.02,,,
20230913,CALL,1515,,,,,,,,11.0,,6.03,3.73,1.75,0.53,0.08,0.02,0.01,,,
20230913,PUT,915,,,,,,,,0.01,0.02,0.05,0.16,0.54,1.49,3.2,5.49,,,,
20230913,PUT,1515,,,,,,,,,,0.04,0.21,0.73,2.0,4.07,6.5,,,,
20230914,CALL,915,,,,,,,,,,7.21,4.66,2.29,0.6,0.06,0.01,0.01,,,
20230914,CALL,1515,,,,,,,,,,,7.64,5.14,2.66,0.38,0.01,,,,
20230914,PUT,915,,,,,,,,,0.01,0.01,0.02,0.18,0.97,2.94,5.33,,,,
20230914,PUT,1515,,,,,,,,,,,0.01,0.01,0.01,0.24,2.36,4.88,,,
20230915,CALL,915,,,,,,,,,,,,8.32,6.54,4.97,3.63,2.58,1.74,1.15,
20230915,CALL,1515,,,,,,,,,,,,,9.03,7.12,5.53,4.11,2.96,2.05,
20230915,PUT,915,,,,,,,,,,0.76,1.12,1.64,2.36,3.26,4.43,5.86,7.55,,
20230915,PUT,1515,,,,,,,,,,0.46,0.68,1.0,1.46,2.09,2.94,4.05,5.36,,
20230918,CALL,915,,,,,,,,,,,,,7.6,5.9,4.41,3.17,2.19,1.44,0.91
20230918,CALL,1515,,,,,,,,,,,,,6.1,4.55,3.28,2.28,1.51,0.95,0.57
20230918,PUT,915,,,,,,,,,,,0.96,1.38,1.96,2.74,3.74,5.01,6.52,8.11,
20230918,PUT,1515,,,,,,,,,,,1.27,1.82,2.57,3.55,4.77,6.25,7.99,,
20230919,CALL,915,,,,,,,,,,,,,5.74,4.34,3.07,2.13,1.39,0.87,
20230919,CALL,1515,,,,,,,,,,,,,4.45,3.18,2.18,1.44,0.9,0.54,
20230919,PUT,915,,,,,,,,,,0.9,1.3,1.86,2.63,3.64,4.91,6.42,8.3,,
20230919,PUT,1515,,,,,,,,,,1.25,1.8,2.55,3.53,4.76,6.25,,,,
20230920,CALL,915,,,,,,,,,,9.65,7.68,5.96,4.41,3.15,2.15,1.41,0.88,,
20230920,CALL,1515,,,,,,,,,,,7.75,5.99,4.45,3.17,2.16,1.41,0.88,,
20230920,PUT,915,,,,,,,,,0.82,1.2,1.74,2.48,3.46,4.7,6.2,7.88,,,
20230920,PUT,1515,,,,,,,,,0.79,1.17,1.7,2.43,3.39,4.61,6.09,,,,
20230921,CALL,915,,,,,,,,,,8.2,6.39,4.76,3.43,2.35,1.53,0.95,0.56,,
20230921,CALL,1515,,,,,,,,,,5.53,4.08,2.89,1.96,1.28,0.79,0.48,0.28,,
20230921,PUT,915,,,,,,,,,1.04,1.51,2.18,3.07,4.21,5.63,7.31,9.2,11.3,,
20230921,PUT,1515,,,,,,,,,2.05,2.84,3.88,5.18,6.76,,,,,,
20230922,CALL,915,,,,,,,8.77,6.95,5.35,3.95,2.82,1.93,1.27,0.81,0.49,,,,
20230922,CALL,1515,,,,,,,,,6.3,4.73,3.39,2.33,1.53,0.96,0.58,,,,
20230922,PUT,915,,,,,,,2.01,2.69,3.56,4.69,6.05,7.64,,11.5,13.7,,,,
20230922,PUT,1515,,,,,,,1.23,1.75,2.45,3.36,4.55,5.97,7.69,9.6,,,,,
20230925,CALL,915,,,,,,,,7.11,5.47,3.99,2.77,1.82,1.14,0.66,,,,,
20230925,CALL,1515,,,,,,,,,5.84,4.3,2.95,1.93,1.18,0.69,,,,,
20230925,PUT,915,,,,,,0.91,1.31,1.88,2.64,3.67,4.95,6.5,8.4,10.35,,,,,
20230925,PUT,1515,,,,,,0.66,0.98,1.47,2.13,3.04,4.25,5.7,7.45,,,,,,
20230926,CALL,915,,,,,,,,6.3,4.6,3.23,2.14,1.33,0.78,0.43,,,,,
20230926,CALL,1515,,,,,,,,4.74,3.32,2.2,1.37,0.81,0.45,0.24,,,,,
20230926,PUT,915,,,,,,0.89,1.33,1.96,2.8,3.92,5.33,7.02,8.97,11.0,,,,,
20230926,PUT,1515,,,,,,1.25,1.85,2.68,3.77,5.14,6.81,8.75,10.8,13.15,,,,,
20230927,CALL,915,,,,,,8.19,6.28,4.61,3.21,2.11,1.31,0.75,,,,,,,
20230927,CALL,1515,,,,,,,6.72,4.96,3.49,2.32,1.45,0.84,,,,,,,
20230927,PUT,915,,,,0.61,0.9,1.34,1.97,2.82,3.94,5.34,7.0,9.0,,,,,,,
20230927,PUT,1515,,,,0.46,0.72,1.09,1.65,2.43,3.45,4.78,6.4,8.26,,,,,,,
20231004,CALL,915,,,,6.64,4.96,3.45,2.26,1.37,0.77,0.39,0.19,0.09,,,,,,,
20231004,CALL,1515,,,,5.76,4.09,2.72,1.67,0.95,0.49,0.23,0.11,0.05,,,,,,,
20231004,PUT,915,,,,1.47,2.19,3.19,4.5,6.08,7.99,10.25,12.4,,,,,,,,
20231004,PUT,1515,,,,1.7,2.53,3.66,5.1,6.88,,11.1,,15.9,,,,,,,
20231005,CALL,915,,,,6.24,4.47,2.97,1.79,0.99,0.48,,,,,,,,,,
20231005,CALL,1515,,,,5.27,3.59,2.24,1.24,0.6,0.25,,,,,,,,,,
20231005,PUT,915,0.24,0.41,0.71,1.17,1.87,2.87,4.21,5.89,7.91,,,,,,,,,,
20231005,PUT,1515,0.27,0.48,0.81,1.33,2.12,3.26,4.75,6.67,8.77,,,,,,,,,,
20231006,CALL,915,,,,5.87,4.06,2.56,1.43,0.69,0.27,,,,,,,,,,
20231006,CALL,1515,,,,5.36,3.6,2.2,1.19,0.55,0.21,,,,,,,,,,
20231006,PUT,915,0.17,0.31,0.56,0.98,1.64,2.63,4.01,5.77,7.96,,,,,,,,,,
20231006,PUT,1515,0.17,0.32,0.6,1.06,1.79,2.88,4.37,6.2,,,,,,,,,,,
20231010,CALL,915,,16.2,,,10.4,8.79,7.05,5.75,4.53,,,,,,,,,,
20231010,CALL,1515,,,,,,6.27,,3.89,2.96,,,,,,,,,,
20231010,PUT,915,1.24,1.59,1.98,2.5,3.16,3.91,4.85,5.98,7.18,,,,,,,,,,
20231010,PUT,1515,,,3.16,,4.8,5.82,,,,,,,,,,,,,
20231011,CALL,915,,,,,11.2,9.41,,6.21,4.9,,,,,,,,,,
20231011,CALL,1515,,,,,,9.17,7.6,6.15,4.88,,,,,,,,,,
20231011,PUT,915,1.01,1.3,1.66,2.13,2.66,3.39,,,,,,,,,,,,,
20231011,PUT,1515,1.1,1.41,1.79,2.27,2.86,3.59,4.43,5.49,6.66,,,,,,,,,,
