,,,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
행사가,,,307.5,310.0,312.5,315.0,317.5,320.0,322.5,325.0,327.5,330.0,332.5,335.0,337.5,340.0,342.5,345.0,347.5,350.0,352.5
거래일자,풋콜구분,시각,,,,,,,,,,,,,,,,,,,
20231019,CALL,915,,,,,9.31,7.34,5.89,4.56,3.41,2.46,1.7,1.13,0.7,,,,,,
20231019,CALL,1515,,,,,8.8,7.19,5.68,4.37,3.26,2.34,1.62,1.07,0.68,,,,,,
20231019,CALL,1530,,,,,8.9,7.17,5.7,4.36,3.27,2.36,1.63,1.08,0.68,,,,,,
20231019,PUT,915,,,,,2.82,3.6,4.54,5.71,7.11,8.61,10.2,12.25,14.25,,,,,,
20231019,PUT,1515,,,,,3.14,3.96,4.95,6.13,7.52,9.1,11.05,12.9,15.05,,,,,,
20231019,PUT,1530,,,,,3.21,4.03,5.03,6.21,7.59,9.18,10.95,12.95,15.05,,,,,,
20231020,CALL,915,,,9.45,7.7,6.19,4.85,3.69,2.72,1.93,1.32,0.87,,,,,,,,
20231020,CALL,1515,,,9.31,7.65,6.06,4.7,3.53,2.57,1.81,1.22,0.78,,,,,,,,
20231020,CALL,1530,,,9.17,7.4,5.92,4.6,3.47,2.54,1.79,1.2,0.78,,,,,,,,
20231020,PUT,915,,,3.4,4.21,5.18,6.33,7.72,9.19,10.6,12.65,14.55,,,,,,,,
20231020,PUT,1515,,,3.35,4.18,5.17,6.33,7.65,9.21,10.85,12.75,14.85,,,,,,,,
20231020,PUT,1530,,,3.43,4.26,5.28,6.47,7.78,9.35,11.15,13.1,14.85,,,,,,,,
