현재가,거래량,체결시간,시가,고가,저가,대업종구분,소업종구분,종목정보,전일종가
-245727,125075,20231018090000,-245205,+246069,-245078,,,,
+246017,18355,20231017153000,+246243,+246243,+246017,,,,
+246243,22645,20231017150000,+246276,+246522,+246159,,,,
+246371,26191,20231017143000,+246055,+246521,+245961,,,,
+246054,26392,20231017140000,+246181,+246450,+245902,,,,
+246172,26998,20231017133000,+246486,+246598,+246052,,,,
+246459,20238,20231017130000,+246266,+246666,+246119,,,,
+246341,20174,20231017123000,+246614,+246687,+245925,,,,
+246530,22850,20231017120000,+245763,+246534,+245574,,,,
+245696,30064,20231017113000,+245626,+245914,+245546,,,,
+245670,30820,20231017110000,+245702,+246008,+245473,,,,
+245769,31598,20231017103000,+245113,+245841,+244942,,,,
+245080,43147,20231017100000,+245585,+245612,+245079,,,,
+245490,67464,20231017093000,+245753,+245910,+245140,,,,
+245757,122439,20231017090000,+245414,+245978,+245298,,,,
-243624,26125,20231016153000,+243780,+243807,+243622,,,,
-243780,76804,20231016150000,+243298,+243835,+243298,,,,
-243346,97213,20231016143000,+243246,+243358,+242775,,,,
-243115,38617,20231016140000,+242809,+243270,+242705,,,,
-242778,34289,20231016133000,+242607,+242864,+242366,,,,
-242619,48399,20231016130000,+242608,+242786,+242282,,,,
-242661,23054,20231016123000,+242433,+242668,+242294,,,,
-242526,35750,20231016120000,+242974,+243012,+242252,,,,
-242993,55812,20231016113000,+243349,+243482,+242920,,,,
-243434,54926,20231016110000,+243465,+243596,+242954,,,,
-243498,37175,20231016103000,+244245,+244418,+243486,,,,
-244265,42859,20231016100000,+244075,+244671,+243966,,,,
-244204,70792,20231016093000,+244741,+244972,+243778,,,,
-244707,146541,20231016090000,+244243,+245377,+244083,,,,
-245615,14534,20231013153000,+245719,+245719,+245615,,,,
-245719,34414,20231013150000,+245742,+245815,+245535,,,,
-245653,34801,20231013143000,+245679,+245839,+245487,,,,
-245579,51448,20231013140000,+245440,+245712,+245283,,,,
-245379,45431,20231013133000,+245790,+245885,+245364,,,,
-245817,44992,20231013130000,+245829,+246018,+245649,,,,
-245875,38914,20231013123000,+245796,+245951,+245433,,,,
-245881,31814,20231013120000,+246172,+246254,+245790,,,,
-246184,25795,20231013113000,+246214,+246281,+246061,,,,
-246290,24747,20231013110000,+246079,+246477,+246063,,,,
-246161,43199,20231013103000,+246304,+246345,+245845,,,,
-246291,51772,20231013100000,+246133,+246590,+245953,,,,
-246115,52106,20231013093000,+245895,+246253,+245439,,,,
-245984,88917,20231013090000,+246085,+246662,+245546,,,,
+247982,31978,20231012153000,+247754,+247982,+247740,,,,
+247754,24956,20231012150000,+247143,+247862,+247009,,,,
+247044,33952,20231012143000,+247014,+247317,+246858,,,,
+247036,31723,20231012140000,+247176,+247286,+246851,,,,
+247249,24438,20231012133000,+247334,+247487,+247131,,,,
+247335,30941,20231012130000,+247353,+247622,+247295,,,,
+247371,27378,20231012123000,+247140,+247521,+247120,,,,
+247116,27875,20231012120000,+247071,+247211,+246889,,,,
+247178,17506,20231012113000,+247484,+247537,+246916,,,,
+247464,24374,20231012110000,+247553,+247553,+247093,,,,
+247531,30109,20231012103000,+247257,+247716,+247170,,,,
+247345,44566,20231012100000,+247494,+247494,+246930,,,,
+247400,58758,20231012093000,+247059,+247546,+246953,,,,
+247055,106898,20231012090000,+246519,+247490,+246484,,,,
+245008,22213,20231011153000,+244955,+245024,+244931,,,,
+244955,24333,20231011150000,+245559,+245559,+244661,,,,
+245532,31168,20231011143000,+245811,+246005,+245463,,,,
+245867,24884,20231011140000,+245522,+246006,+245368,,,,
+245464,35003,20231011133000,+245982,+245982,+245324,,,,
+245895,20089,20231011130000,+246322,+246356,+245703,,,,
+246211,18426,20231011123000,+245937,+246352,+245933,,,,
+245938,14417,20231011120000,+245799,+246018,+245618,,,,
+245769,16180,20231011113000,+245561,+246077,+245561,,,,
+245547,20874,20231011110000,+245468,+245673,+245208,,,,
+245440,28194,20231011103000,+245163,+245566,+245135,,,,
