,거래일자,종목코드,종목명,시각,만기월,풋콜구분,행사가,결제월번호,시가,고가,저가,종가
99,20230912,KR4301T93276,코스피200 P 202309 327.5,927,202309,PUT,327.5,1,0.04,0.05,0.04,0.05
100,20230912,KR4301T93276,코스피200 P 202309 327.5,928,202309,PUT,327.5,1,0.05,0.05,0.04,0.05
101,20230912,KR4301T93276,코스피200 P 202309 327.5,929,202309,PUT,327.5,1,0.05,0.05,0.04,0.05
102,20230912,KR4301T93276,코스피200 P 202309 327.5,930,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
103,20230912,KR4301T93276,코스피200 P 202309 327.5,931,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
104,20230912,KR4301T93276,코스피200 P 202309 327.5,932,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
105,20230912,KR4301T93276,코스피200 P 202309 327.5,933,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
106,20230912,KR4301T93276,코스피200 P 202309 327.5,934,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
107,20230912,KR4301T93276,코스피200 P 202309 327.5,935,202309,PUT,327.5,1,0.04,0.05,0.04,0.05
108,20230912,KR4301T93276,코스피200 P 202309 327.5,936,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
109,20230912,KR4301T93276,코스피200 P 202309 327.5,937,202309,PUT,327.5,1,0.04,0.05,0.04,0.04
110,20230912,KR4301T93276,코스피200 P 202309 327.5,938,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
111,20230912,KR4301T93276,코스피200 P 202309 327.5,939,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
112,20230912,KR4301T93276,코스피200 P 202309 327.5,940,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
113,20230912,KR4301T93276,코스피200 P 202309 327.5,942,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
114,20230912,KR4301T93276,코스피200 P 202309 327.5,946,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
115,20230912,KR4301T93276,코스피200 P 202309 327.5,947,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
116,20230912,KR4301T93276,코스피200 P 202309 327.5,948,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
117,20230912,KR4301T93276,코스피200 P 202309 327.5,949,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
118,20230912,KR4301T93276,코스피200 P 202309 327.5,950,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
119,20230912,KR4301T93276,코스피200 P 202309 327.5,951,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
120,20230912,KR4301T93276,코스피200 P 202309 327.5,952,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
121,20230912,KR4301T93276,코스피200 P 202309 327.5,953,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
122,20230912,KR4301T93276,코스피200 P 202309 327.5,954,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
123,20230912,KR4301T93276,코스피200 P 202309 327.5,955,202309,PUT,327.5,1,0.05,0.05,0.04,0.05
124,20230912,KR4301T93276,코스피200 P 202309 327.5,956,202309,PUT,327.5,1,0.05,0.05,0.04,0.05
125,20230912,KR4301T93276,코스피200 P 202309 327.5,957,202309,PUT,327.5,1,0.05,0.06,0.05,0.05
126,20230912,KR4301T93276,코스피200 P 202309 327.5,958,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
127,20230912,KR4301T93276,코스피200 P 202309 327.5,959,202309,PUT,327.5,1,0.04,0.05,0.04,0.05
128,20230912,KR4301T93276,코스피200 P 202309 327.5,1000,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
129,20230912,KR4301T93276,코스피200 P 202309 327.5,1001,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
130,20230912,KR4301T93276,코스피200 P 202309 327.5,1002,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
131,20230912,KR4301T93276,코스피200 P 202309 327.5,1003,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
132,20230912,KR4301T93276,코스피200 P 202309 327.5,1004,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
133,20230912,KR4301T93276,코스피200 P 202309 327.5,1005,202309,PUT,327.5,1,0.05,0.06,0.05,0.06
134,20230912,KR4301T93276,코스피200 P 202309 327.5,1006,202309,PUT,327.5,1,0.06,0.06,0.05,0.06
135,20230912,KR4301T93276,코스피200 P 202309 327.5,1007,202309,PUT,327.5,1,0.06,0.06,0.06,0.06
136,20230912,KR4301T93276,코스피200 P 202309 327.5,1008,202309,PUT,327.5,1,0.06,0.07,0.06,0.06
137,20230912,KR4301T93276,코스피200 P 202309 327.5,1009,202309,PUT,327.5,1,0.06,0.06,0.06,0.06
138,20230912,KR4301T93276,코스피200 P 202309 327.5,1010,202309,PUT,327.5,1,0.05,0.06,0.05,0.06
139,20230912,KR4301T93276,코스피200 P 202309 327.5,1011,202309,PUT,327.5,1,0.06,0.06,0.05,0.05
140,20230912,KR4301T93276,코스피200 P 202309 327.5,1012,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
141,20230912,KR4301T93276,코스피200 P 202309 327.5,1013,202309,PUT,327.5,1,0.04,0.05,0.04,0.04
142,20230912,KR4301T93276,코스피200 P 202309 327.5,1014,202309,PUT,327.5,1,0.04,0.04,0.04,0.04
143,20230912,KR4301T93276,코스피200 P 202309 327.5,1015,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
144,20230912,KR4301T93276,코스피200 P 202309 327.5,1016,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
145,20230912,KR4301T93276,코스피200 P 202309 327.5,1017,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
146,20230912,KR4301T93276,코스피200 P 202309 327.5,1018,202309,PUT,327.5,1,0.05,0.05,0.04,0.04
147,20230912,KR4301T93276,코스피200 P 202309 327.5,1019,202309,PUT,327.5,1,0.04,0.05,0.04,0.05
148,20230912,KR4301T93276,코스피200 P 202309 327.5,1020,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
149,20230912,KR4301T93276,코스피200 P 202309 327.5,1021,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
150,20230912,KR4301T93276,코스피200 P 202309 327.5,1022,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
151,20230912,KR4301T93276,코스피200 P 202309 327.5,1023,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
152,20230912,KR4301T93276,코스피200 P 202309 327.5,1024,202309,PUT,327.5,1,0.05,0.06,0.05,0.06
153,20230912,KR4301T93276,코스피200 P 202309 327.5,1025,202309,PUT,327.5,1,0.06,0.07,0.06,0.06
154,20230912,KR4301T93276,코스피200 P 202309 327.5,1026,202309,PUT,327.5,1,0.06,0.07,0.06,0.07
155,20230912,KR4301T93276,코스피200 P 202309 327.5,1027,202309,PUT,327.5,1,0.06,0.06,0.05,0.05
156,20230912,KR4301T93276,코스피200 P 202309 327.5,1028,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
157,20230912,KR4301T93276,코스피200 P 202309 327.5,1029,202309,PUT,327.5,1,0.05,0.05,0.05,0.05
158,20230912,KR4301T93276,코스피200 P 202309 327.5,1030,202309,PUT,327.5,1,0.05,0.06,0.05,0.06
159,20230912,KR4301T93276,코스피200 P 202309 327.5,1032,202309,PUT,327.5,1,0.06,0.06,0.05,0.06
160,20230912,KR4301T93276,코스피200 P 202309 327.5,1033,202309,PUT,327.5,1,0.06,0.06,0.05,0.05
161,20230912,KR4301T93276,코스피200 P 202309 327.5,1034,202309,PUT,327.5,1,0.05,0.06,0.05,0.06
162,20230912,KR4301T93276,코스피200 P 202309 327.5,1035,202309,PUT,327.5,1,0.06,0.06,0.06,0.06
163,20230912,KR4301T93276,코스피200 P 202309 327.5,1036,202309,PUT,327.5,1,0.06,0.06,0.06,0.06
164,20230912,KR4301T93276,코스피200 P 202309 327.5,1037,202309,PUT,327.5,1,0.06,0.06,0.06,0.06
165,20230912,KR4301T93276,코스피200 P 202309 327.5,1038,202309,PUT,327.5,1,0.06,0.07,0.06,0.07
166,20230912,KR4301T93276,코스피200 P 202309 327.5,1039,202309,PUT,327.5,1,0.07,0.07,0.06,0.06
167,20230912,KR4301T93276,코스피200 P 202309 327.5,1040,202309,PUT,327.5,1,0.06,0.07,0.06,0.06
